Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Cumulative Return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,
Date,,,,,,,,
2020-12-02,19201.091796875,19201.091796875,19308.330078125,18347.71875,18801.744140625,37387697139,0.021171823185194727,2.0981606496449787
2020-12-03,19445.3984375,19445.3984375,19566.19140625,18925.78515625,19205.92578125,31930317405,0.012723580680175761,2.1248567659507067
2020-12-04,18699.765625,18699.765625,19511.404296875,18697.193359375,19446.966796875,33872388058,-0.038344949058079725,2.043379241504611
2020-12-05,19154.23046875,19154.23046875,19160.44921875,18590.193359375,18698.384765625,27242455064,0.024303237423597412,2.0930399723573476
2020-12-06,19345.12109375,19345.12109375,19390.5,18897.89453125,19154.1796875,25293775714,0.009965977245154134,2.113899161095059
2020-12-07,19191.630859375,19191.630859375,19411.828125,18931.142578125,19343.12890625,26896357742,-0.007934312410408761,2.0971268247468298
2020-12-08,18321.14453125,18321.14453125,19283.478515625,18269.9453125,19191.529296875,31692288756,-0.0453576006387062,2.002006183741245
2020-12-09,18553.916015625,18553.916015625,18626.29296875,17935.546875,18320.884765625,34420373071,0.012705073309037251,2.0274418190708237
2020-12-10,18264.9921875,18264.9921875,18553.298828125,17957.064453125,18553.298828125,25547132265,-0.015572121156616547,1.9958702494262617
2020-12-11,18058.904296875,18058.904296875,18268.453125,17619.533203125,18263.9296875,27919640985,-0.011283218109780502,1.9733504100831631
2020-12-12,18803.65625,18803.65625,18919.55078125,18046.041015625,18051.3203125,21752580802,0.041240151721379625,2.0547316803944393
2020-12-13,19142.3828125,19142.3828125,19381.53515625,18734.33203125,18806.765625,25450468637,0.018013866983980886,2.0917453435728364
2020-12-14,19246.64453125,19246.64453125,19305.099609375,19012.708984375,19144.4921875,22473997681,0.005446642655266398,2.103138332985095
2020-12-15,19417.076171875,19417.076171875,19525.0078125,19079.841796875,19246.919921875,26741982541,0.008855135259981495,2.12176190739413
2020-12-16,21310.59765625,21310.59765625,21458.908203125,19298.31640625,19418.818359375,44409011479,0.09751836309514528,2.3286726554808386
2020-12-17,22805.162109375,22805.162109375,23642.66015625,21234.67578125,21308.3515625,71378606374,0.07013245133867341,2.491988177175048
2020-12-18,23137.9609375,23137.9609375,23238.6015625,22399.8125,22806.796875,40387896275,0.014593135822884129,2.528354099113585
2020-12-19,23869.83203125,23869.83203125,24085.85546875,22826.47265625,23132.865234375,38487546580,0.03163075154837203,2.608327839448955
2020-12-20,23477.294921875,23477.294921875,24209.66015625,23147.7109375,23861.765625,37844228422,-0.01644490454985592,2.565434137094485
2020-12-21,22803.08203125,22803.08203125,24059.982421875,22159.3671875,23474.455078125,45852713981,-0.028717656479103182,2.491760880825641
